,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
22365,144,"Woolf, Virginia",The Voyage Out,http://www.gutenberg.org/files/144/144-0.txt,PR,Ocean travel -- Fiction,Women travelers -- Fiction,Bildungsromans,British -- South America -- Fiction
22436,12199,"Catherwood, Mary Hartwell",The Chase of Saint-Castin and Other Stories of the French in the New World,http://www.gutenberg.org/ebooks/12199.txt.utf-8,PS,French Americans -- Fiction,French -- North America -- Fiction,French Canadians -- Fiction,
22517,33579,"Crane, Stephen",Last Words,http://www.gutenberg.org/ebooks/33579.txt.utf-8,PS,Essays,Fiction,,
22827,31510,"Saltus, Edgar",Mary Magdalen: A Chronicle,http://www.gutenberg.org/files/31510/31510-0.txt,PS,Bible. New Testament -- History of Biblical events -- Fiction,Biographical fiction,Christian fiction,Palestine -- Fiction
23110,7887,"Walpole, Hugh",Fortitude,http://www.gutenberg.org/files/7887/7887-0.txt,PR,Young men -- Fiction,London (England) -- Fiction,,
23538,36958,"Morrison, Arthur",A Child of the Jago,http://www.gutenberg.org/ebooks/36958.txt.utf-8,Slums -- Fiction,PR,Boys -- Fiction,London (England) -- Fiction,
23714,9248,"Hawthorne, Nathaniel","Other Tales and Sketches (From: ""The Doliver Romance and Other Pieces: Tales and Sketches"")",http://www.gutenberg.org/files/9248/9248-0.txt,PS,Ghosts -- Fiction,Niagara Falls (N.Y. and Ont.),Rings -- Fiction,Storytelling -- Fiction
23782,9195,"Merriman, Henry Seton",The Slave of the Lamp,http://www.gutenberg.org/files/9195/9195-0.txt,PR,Journalists -- Fiction,Adventure stories,,
24294,12349,"Walpole, Hugh",The Secret City,http://www.gutenberg.org/ebooks/12349.txt.utf-8,PR,"Soviet Union -- History -- Revolution, 1917-1921 -- Fiction",British -- Russia -- Fiction,Historical fiction,
24441,27180,"Walpole, Hugh",The Wooden Horse,http://www.gutenberg.org/ebooks/27180.txt.utf-8,PR,Fathers and sons -- Fiction,Cornwall (England : County) -- Fiction,,
24570,13414,"Chekhov, Anton Pavlovich",Love and Other Stories,http://www.gutenberg.org/ebooks/13414.txt.utf-8,"Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English",PG,Russia -- Social life and customs -- Fiction,,
24953,31488,"Crane, Stephen","The Little Regiment, and Other Episodes of the American Civil War",http://www.gutenberg.org/ebooks/31488.txt.utf-8,PS,"War stories, American","United States -- History -- Civil War, 1861-1865 -- Fiction",,
25114,10342,"Merriman, Henry Seton",The Velvet Glove,http://www.gutenberg.org/ebooks/10342.txt.utf-8,Spain -- History -- 19th century -- Fiction,Convents -- Fiction,PR,Young women -- Spain -- Fiction,
25122,23253,"Catherwood, Mary Hartwell","The Mothers Of Honoré From ""Mackinac And Lake Stories"", 1899",http://www.gutenberg.org/files/23253/23253-0.txt,PS,Mackinac Island (Mich. : Island) -- Fiction,Michigan -- Fiction,United States -- Social life and customs -- Fiction,
25319,37046,"Jefferies, Richard",Greene Ferne Farm,http://www.gutenberg.org/ebooks/37046.txt.utf-8,PR,Country life -- England -- Fiction,England -- Social life and customs -- Fiction,,
25365,45648,"Roberts, Morley",Lady Penelope,http://www.gutenberg.org/files/45648/45648-0.txt,England -- Social life and customs -- 20th century -- Fiction,PR,Mate selection -- Fiction,Young women -- Fiction,
25487,2696,"Holmes, Oliver Wendell",Elsie Venner,http://www.gutenberg.org/files/2696/2696-0.txt,Paranormal fiction,Birthmarks -- Fiction,Predestination -- Fiction,Didactic fiction,PS
25522,14201,"Walpole, Hugh",The Golden Scarecrow,http://www.gutenberg.org/ebooks/14201.txt.utf-8,PR,Children -- Fiction,London (England) -- Fiction,,
25705,447,"Crane, Stephen",Maggie: A Girl of the Streets,http://www.gutenberg.org/ebooks/447.txt.utf-8,Slums -- Fiction,Poor women -- Fiction,Psychological fiction,PS,Prostitutes -- Fiction
26635,10337,"Garnett, David",Lady into Fox,http://www.gutenberg.org/ebooks/10337.txt.utf-8,PR,"Fantasy fiction, English",Foxes -- Fiction,Metamorphosis -- Fiction,
26888,23810,"Chopin, Kate",At Fault,http://www.gutenberg.org/files/23810/23810-0.txt,Women plantation owners -- Fiction,PS,Creoles -- Fiction,Psychological fiction,Louisiana -- Fiction
27016,25299,"Jefferies, Richard",Wood Magic: A Fable,http://www.gutenberg.org/ebooks/25299.txt.utf-8,PR,Animals -- Fiction,Country life -- Fiction,,
27673,13416,"Chekhov, Anton Pavlovich",The Darling and Other Stories,http://www.gutenberg.org/ebooks/13416.txt.utf-8,"Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English",Russia -- Social life and customs -- Fiction,PG,,
28312,13419,"Chekhov, Anton Pavlovich",The Bishop and Other Stories,http://www.gutenberg.org/ebooks/13419.txt.utf-8,"Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English",Russia -- Social life and customs -- Fiction,PG,,
28317,20058,"Chesterton, G. K. (Gilbert Keith)",The Napoleon of Notting Hill,http://www.gutenberg.org/ebooks/20058.txt.utf-8,Political fiction,Fantasy fiction,PR,"Notting Hill (London, England) -- Fiction",
28880,31189,"Crane, Stephen",The Monster and Other Stories,http://www.gutenberg.org/ebooks/31189.txt.utf-8,PS,Social isolation -- Fiction,Disfigured persons -- Fiction,Missing children -- Fiction,Hotels -- Fiction
29027,41107,"Bottome, Phyllis",The Second Fiddle,http://www.gutenberg.org/ebooks/41107.txt.utf-8,PR,Disabled veterans -- England -- Fiction,Sisters -- Fiction,Secretaries -- Fiction,Man-woman relationships -- Fiction
29187,28631,"Sedgwick, Anne Douglas",Amabel Channice,http://www.gutenberg.org/ebooks/28631.txt.utf-8,PR,Mothers and sons -- Fiction,Married women -- Fiction,Illegitimate children -- Fiction,
29280,30647,"Macaulay, Rose",Mystery at Geneva: An Improbable Tale of Singular Happenings,http://www.gutenberg.org/ebooks/30647.txt.utf-8,PR,Detective and mystery stories,Geneva (Switzerland) -- Fiction,,
29431,42233,"Sedgwick, Anne Douglas",The Third Window,http://www.gutenberg.org/ebooks/42233.txt.utf-8,PR,Widows -- Fiction,Man-woman relationships -- Fiction,Disabled veterans -- England -- Fiction,
29688,11252,"Morrison, Arthur","Martin Hewitt, Investigator",http://www.gutenberg.org/ebooks/11252.txt.utf-8,PR,Private investigators -- England -- Fiction,"Detective and mystery stories, English",,
30109,33207,"Saltus, Edgar",The Perfume of Eros: A Fifth Avenue Incident,http://www.gutenberg.org/ebooks/33207.txt.utf-8,New York (N.Y.) -- Fiction,Trials (Murder) -- Fiction,Man-woman relationships -- Fiction,Murder -- Fiction,PS
